Predicted_Tags,True_Tags,Local_Recall
c++/c,c++,1.0
c#,linux,0.0
c#/.net/java,java/.net,1.0
winforms/c#,c#/.net/winforms,0.6666666666666666
windows/.net/c#,c#/windows/winforms,0.6666666666666666
javascript,javascript/internet-explorer,0.5
c#/.net,c/algorithm,0.0
wpf/c#/.net,c#/wpf,1.0
c#/.net,c#/.net/data-binding,0.6666666666666666
c#/.net/winforms,c#/visual-studio-2008,0.5
c#,c#/multithreading,0.5
c#,.net,0.0
oop/java,c++,0.0
html,html,1.0
java,java/web-services,0.5
xml/c#,xml,1.0
c#,c#,1.0
iphone/objective-c/cocoa/cocoa-touch,iphone/objective-c,1.0
c#/.net,.net,1.0
vb.net/.net/debugging/visual-studio,visual-studio/visual-studio-2008/debugging,0.6666666666666666
c#,reporting-services,0.0
xml,sql,0.0
winforms/c#/.net,winforms,1.0
ruby,ruby,1.0
python/perl,python/perl,1.0
c#,visual-studio,0.0
asp.net/javascript,c#/asp.net/ajax,0.3333333333333333
flex/actionscript-3/flash,flex,1.0
sql,mysql,0.0
c#,database,0.0
java,java/flex,0.5
java,java/parsing,0.5
c++,c++/visual-studio-2008,0.5
java,java,1.0
css,html/css,0.5
asp.net/debugging,visual-studio-2008,0.0
java,java,1.0
c#/c++,.net/sql-server-2005,0.0
java/windows,java/windows/file,0.6666666666666666
php,php,1.0
python/php/ruby,php/python/ruby/web-services,0.75
nhibernate/asp.net/.net/c#,asp.net/nhibernate,1.0
c#/.net,c#,1.0
firefox/xml,javascript/jquery/xml,0.3333333333333333
asp.net-mvc/c#,asp.net-mvc/unit-testing,0.5
java,java,1.0
delphi,delphi,1.0
php,php,1.0
c#,security/http,0.0
c++/c,c/arrays,0.5
c#,exception,0.0
xml/c#,xml,1.0
jquery/javascript/html,jquery,1.0
c#,c#/.net,0.5
vb.net/c#/.net,vb.net,1.0
javascript,javascript,1.0
sharepoint/sql-server,sharepoint,1.0
.net,c#/visual-studio/unit-testing,0.0
.net/c#,.net,1.0
.net/security,security,1.0
sql-server/.net/c#,c#/sql,0.5
ruby-on-rails/ruby,ruby-on-rails,1.0
c++/c#,c++/visual-c++,0.5
java,java/arrays/reflection,0.3333333333333333
sharepoint,sharepoint,1.0
php/javascript/validation,php/javascript,1.0
c++/c#,c++/exception,0.5
c#,c#/wpf,0.5
c#/java/.net,java,1.0
javascript,javascript/cocoa,0.5
c#/wcf/.net,wcf,1.0
python,python,1.0
linq/c#/linq-to-sql/.net,vb.net/linq,0.5
php/mysql,mysql,1.0
xml/c#/.net,c#/asp.net,0.5
bash,bash,1.0
php/validation,php/oop,0.5
mysql/sql,mysql,1.0
c#/.net/reflection/oop,.net,1.0
php/image,php,1.0
css,css,1.0
php/xml,php,1.0
java/javascript,java/javascript,1.0
linq/linq-to-sql/c#/.net,linq,1.0
asp.net-mvc/c#,asp.net-mvc,1.0
iphone/cocoa-touch/objective-c,iphone,1.0
php,php,1.0
django/python/windows,python/django,1.0
c#/.net/exception,language-agnostic,0.0
python/django,python/django,1.0
c++,c,0.0
c#/.net/c++,c#,1.0
asp.net/javascript,asp.net,1.0
mysql/sql,mysql/stored-procedures,0.5
user-interface/.net/c#,user-interface,1.0
c#,email,0.0
c++,c++/windows,0.5
ruby-on-rails,ruby-on-rails/forms,0.5
.net/c#,.net/entity-framework,0.5
c#,image,0.0
regex/javascript/c#/.net,javascript/regex,1.0
ruby/ruby-on-rails,ruby-on-rails/ruby,1.0
php,design-patterns/oop,0.0
c#,sql-server,0.0
image,vb.net/visual-studio,0.0
c#,version-control,0.0
c#/iphone,objective-c/iphone,0.5
java/security,java,1.0
wcf/.net,c#/wcf,0.5
algorithm,python/database,0.0
java,eclipse,0.0
web-services/asp.net,web-services,1.0
nhibernate/.net/c#,nhibernate,1.0
xml/c#/.net,.net/sql/xml/sql-server-2005,0.5
.net/c#,c,0.0
iphone/cocoa-touch/objective-c,iphone,1.0
c#/.net,c#/.net/sql-server/sql-server-2005,0.5
flex/actionscript-3,flex/actionscript-3,1.0
c#/exception,c++/exception,0.5
web-services/c#/xml,c#/java/web-services,0.6666666666666666
c#/wpf/winforms,c#/wpf,1.0
silverlight,.net/silverlight,0.5
mysql/database/linux,mysql,1.0
javascript,javascript/internet-explorer/events,0.3333333333333333
c#/.net,c#/generics,0.5
c#/validation,c#/.net/data-binding,0.3333333333333333
mysql/php/regex,sql/mysql/regex,0.6666666666666666
.net/c#/winforms,.net/winforms,1.0
jquery/css/html/javascript,jquery,1.0
c#/string/asp.net,c#/asp.net/string,1.0
mysql,mysql,1.0
flex,flex,1.0
asp.net/c#/sql,.net,0.0
visual-c++/c++,visual-c++,1.0
c++/c#,c++/c,0.5
php,php,1.0
c#,perl/design-patterns,0.0
email/regex,php/javascript,0.0
vb.net/.net/c#,.net/multithreading,0.5
ruby,ruby/string,0.5
css/html,html/css,1.0
c#/.net,.net,1.0
c#,ruby-on-rails/ruby,0.0
asp.net/ajax,asp.net/firefox,0.5
nhibernate/vb.net/c#/.net,nhibernate,1.0
java,objective-c,0.0
.net,php/algorithm,0.0
javascript,jquery,0.0
iphone/cocoa-touch/objective-c,iphone,1.0
java,java/windows/winapi,0.3333333333333333
svn/version-control,svn,1.0
ruby,ruby-on-rails/ruby,0.5
sql-server,flash,0.0
email,c#/.net/email,0.3333333333333333
ruby,ruby,1.0
wcf/silverlight/.net/c#,wcf/silverlight/image,0.6666666666666666
asp.net-mvc/c#/.net,windows,0.0
c#,php,0.0
c#/.net/reflection,c#,1.0
c#/linq,nhibernate,0.0
c#,c#,1.0
